Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Other CIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267924800000001,2.753286200000001,4.331012,4.812726600000001,1.2772066,0.0,0.0,0.0,0.0,0.0,0.304,2.324,1.607,1.589,2.078,2.005,1.987,2.282,1.998,2.201,2.716,2.6403,2.5534,2.4616,2.4937,2.490000000000001,2.548,2.311,2.3597,2.4648,2.7877,2.3805,2.6196,2.0761,2.1978,2.7563,1.9984,2.8462
Other Caribbean,0.0,0.012,0.038,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,2.533,3.916,4.42,4.053,4.019,4.495,4.135,4.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.04861340000000001,0.2032924,0.3800684000000001,0.5303280000000001,0.6098772,0.5170698,0.3270356,0.1679372,0.0530328,0.0795492,0.1679372,0.2032924,0.2740028,0.3314550000000001,0.3889072000000001,0.5259086,0.3049386,0.1944536,0.1193238,0.4198430000000001,0.4198430000000001,0.5524249999999999,0.4065848,0.5877802000000001,0.5214892000000001,0.3270356,0.4507788,0.3933266,0.0795492,0.9457516,2.0859568,1.8959226,1.9047614,2.415,2.537880386629078,2.53299603756023,2.317930593354552,1.746888044184535,2.543853219777333,2.541994596668729,3.94126471195837,2.715192409867173,4.262763059343494,4.669976122034613,4.305087794321786,5.290199406185691,8.116969532563672,9.248440612621012,9.182664270203423,9.54975255171302,15.69464927775109,22.2825437531893
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386,5.4,5.307,5.198,5.456,5.446,5.513,4.906,5.548,5.555,5.632,7.709000000000001,11.226,11.752,11.623,11.7472,11.4662,11.6184,11.6756,11.64,11.286,11.509,11.377,11.28,11.466,11.284,11.089
Russia,1.8605674,2.0638598,2.253894,3.1333546,3.6327468,4.3884642,5.387248600000001,9.833165000000001,14.3100172,21.4606064,28.615615,38.15268020000001,51.0308118,52.4626974,59.61770600000001,73.92330380000001,87.08869640000002,100.254089,111.3953964,143.7984372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.3171762,105.2214946,124.7022098,134.813797,136.33849,118.3250156,119.9838,119.626,119.186,97.82000000000001,99.532,109.026,108.498,103.719,121.874,130.715,136.935,141.629,150.342,144.707,149.446,156.436,160.0575,163.0839,163.5825,170.4147,172.9413,177.5339,172.5081,180.7574,195.470211,196.614384,203.141,204.58105,208.98567,215.91428,222.39165,223.69929
Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.232,0.486,0.187,0.442,0.114,0.019,2.147,4.523,5.133,5.84,6.15,7.239,9.382,11.716,11.513,11.474,12.157,12.036,11.689,11.05,11.486,12.595,11.437,11.249,11.073,11.394,13.117,16.494,17.103,17.953,17.864,17.026,17.727,18.012,15.334,16.703,14.081,14.574,15.411,15.495,15.72,15.499,15.146,14.774,15.081,14.843,15.282,15.444,15.73,15.89594190985066
Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.622,4.952,3.971,3.956,4.609,4.779,4.562,5.019,5.019,4.696,4.761,5.257,5.528,5.207,5.459000000000001,5.884,5.548,5.695,6.273,5.739,5.657,6.215,5.528,5.3,6.37,5.648,5.715,6.285272,5.776439000000001,5.821257,6.352766,5.705951,5.605507017603373
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.925,5.315,8.803,6.167,10.493,11.099,8.449,9.144,9.288000284647044,7.255000052829299,9.69699985359751,11.3009994312497,11.77500008574293,12.64699987507876,13.60099944799779,12.83699987646229,13.01000009473593,10.7189996440256,11.99099943627413,12.66299922415359,13.36512271016908,11.29265416209171,10.02599942196543,11.31699986539399,13.00399966066446,12.80599944220878,13.52699988148672,12.902,12.96743390518986,14.10599836660563,13.79399966641706,12.237,15.026,14.193,11.58,13.252,9.903,12.355,10.1
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071466,2.324376,3.151904,3.477154,2.897205,3.777289,8.965058,11.792059,16.745341,28.311217,39.314193,40.100672,47.365172,52.886562,56.31075,56.530214,58.138203,58.650918,67.02864699999999,73.92434,77.085649,89.68897199999999,103.063779,108.96374,112.133033,119.102905,129.671763,130.714816,146.779023,148.748887,142.937164,150.957936,147.770807,148.595712,154.723107,150.327293,138.783973,156.406511,164.762416,161.995104,148.426725,133.505261,145.909669488,160.183721367217,158.015230279,176.054012417
Spain,0.0,0.0,0.0,0.083,0.8290000000000001,0.923,2.523,4.751,6.545,7.223,7.544,7.555,6.524,7.649,6.7,5.186,9.568,8.771,10.661,23.086,28.044,37.458,41.271,50.466,56.126,54.268,55.578,55.782,56.06,55.313,55.455,56.33,55.298,58.993,58.852,62.206,63.708,63.016,61.875,63.606,57.539,60.126,55.103,58.973,52.76130000000001,61.61340000000001,57.73099999482559,61.46999999999999,56.73133299999999,57.30500000000001,57.30499999999999,58.61896056949761,58.1120239,55.766,58.27718939,58.299429,56.564,58.59732845732252
Sweden,0.018,0.045,0.05,0.023,0.061,0.056,0.09,1.465,2.111,2.054,11.969,15.993,19.913,23.781,21.039,26.488,37.679,39.045,41.004,50.926,58.561,69.95100000000001,67.385,69.424,65.603,68.185,76.761,63.544,61.395,73.156,69.935,74.274,69.928,73.583,73.188,57.316,72.109,68.111,67.415,77.671,72.69078,66.977225,66.969244,63.888988,52.172848,57.72791,60.47538900000001,64.036931,66.456518,64.876568,56.348234,63.100894,65.695915,68.549096,66.129845,49.19801200000001,52.965042,51.5432100467693
Switzerland,0.0,0.0,0.0,0.0,0.535,1.766,1.391,3.84,6.31,7.067,7.761,7.939,8.114,8.395,11.805,14.346,15.33,15.133,15.71,18.44,22.40105263157895,22.42421052631579,22.84315789473684,22.63368421052631,22.67684210526316,23.47157894736842,22.79368421052632,23.28526315789474,23.18842105263158,24.19368421052632,24.72210526315789,24.96736842105263,25.23263157894737,25.65052631578947,24.76105263157894,26.2621052631579,26.62421052631579,27.04421052631579,27.29578947368421,26.77052631578947,23.17894736842105,27.62526315789474,27.73052631578947,27.50736842105263,27.49368421052631,26.53157894736842,26.90526315789474,25.62631578947368,26.18,27.7578947368421,23.2578947368421,21.3,20.52526315789473,24.414,25.28,22.99,18.53,23.113
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,2.67,6.329,8.199,10.668,13.084207,18.903699,24.588946,28.72674,26.940797,33.128328,30.65125500000001,28.276138,32.865953,35.29008200000001,33.844505,34.354155,34.870545,35.31564,37.78769096,36.2694706,36.8659442,38.0070228,38.50279052,35.4864224,39.55292047099999,38.8915746,39.49006499999999,39.972008,39.8704978,40.53916,40.82685960000001,41.5711288,41.6286891,42.1164908,40.4217298,41.63936,42.388975,36.47112060000001,31.6613626,22.4455308,27.6783122,32.323432,31.44024503,27.78794758,23.75482399
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3068028,42.7090816,50.42535400000001,72.00086480000002,66.51638940000001,76.179,75.131,73.75,75.243,68.848,70.523,79.577,79.433,75.239,72.065,77.34100000000001,76.169,77.99,81.406,87.022,88.756,90.22500000000001,92.542,89.84100000000001,82.924,89.152,90.2477,90.1374,83.209,88.38910000000001,87.6274,80.95,85.5762,84.39810000000001,83.0027,76.2027,86.20551312658625,62.0679694511421
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.626885416666667,10.54820833333333,20.10463541666666
United Kingdom,15.135,20.217,23.277,26.19,29.125,26.012,27.548,29.378,27.997,33.617,30.338,36.155,40.021,37.224,38.308,37.023,37.969,43.972,49.928,53.979,61.095,59.079,55.238,63.456,71.734,65.749,70.543,76.807,89.35300000000001,88.282,88.964,94.671,98.146,99.48594916503333,95.13294344435,85.06276572150001,90.0926804491,87.84837926606258,88.68626590896001,79.99910564221473,81.61810284312,75.45065693252724,63.02834269693501,52.48580833475702,69.09769290963001,62.13967325248901,68.98044912180102,70.40506909236501,70.60687708012401,63.74795420251301,70.344902010915,71.726080578005,70.3363,65.0638,56.18400000000001,50.2783,45.9039,47.72310000000001
United States of America,3.849156842105263,5.810430526315789,8.058119999999999,13.18780947368421,14.66088315789474,22.95205052631579,40.11004736842105,56.93803684210526,87.87311894736843,119.9744631578947,181.5842894736842,201.1616115789474,264.0876663157895,290.9506,268.5838136842105,264.3321842105263,287.02474,297.6560505263158,309.1338094736842,344.87742,403.8849757894737,435.82954,479.2319810526315,554.7084705263159,557.2154915789473,607.2228189473684,644.8053547368421,651.3434347368421,642.4118042105264,674.1471915789474,708.84434,710.240574736842,661.7307063157895,709.1601094736842,766.5832884210525,793.5715157894736,809.2908505263157,821.1200915789474,803.9291526315789,830.0298810526315,823.1435421052631,828.6511957894737,848.8681610526315,848.6404578947369,840.8995684210527,849.4403168421052,831.7940705263156,809.8223673684209,830.5436557894736,839.1220863157894,839.1346073684209,848.0988926315789,847.3154052631579,849.562607368421,852.0097494736842,831.4514347368421,820.6785210526315,812.1443957894737
